Line	MM/DD/YY hh:mm:ss.ms.us	DTE(hex)	DCE(hex)
1184	02/27/18 16:21:31.514.452		00 01 00 01 00 01 00 01 
1185	02/27/18 16:21:31.515.144		00 01 00 01 00 01 00 01 
1186	02/27/18 16:21:31.515.837		00 01 00 01 00 01 00 01 
1187	02/27/18 16:21:31.516.529		00 01 00 01 00 01 00 01 
1188	02/27/18 16:21:31.517.221		00 01 00 01 00 01 00 01 
1189	02/27/18 16:21:31.517.913		00 01 00 01 00 01 00 01 
1190	02/27/18 16:21:31.518.606		00 01 00 01 00 01 00 01 
1191	02/27/18 16:21:31.519.298		00 01 00 01 00 01 00 01 
1192	02/27/18 16:21:31.519.991		00 01 00 01 00 01 00 01 
1193	02/27/18 16:21:31.520.683		00 01 00 01 00 01 00 01 
1194	02/27/18 16:21:31.521.375		00 01 00 01 00 01 00 01 
1195	02/27/18 16:21:31.522.068		00 01 00 01 00 01 00 01 
1196	02/27/18 16:21:31.522.760		00 01 00 01 00 01 00 01 
1197	02/27/18 16:21:31.523.452		00 01 00 01 00 01 00 01 
1198	02/27/18 16:21:31.524.145		00 01 00 01 00 01 00 01 
1199	02/27/18 16:21:31.524.837		00 01 00 83 cb 
1200	02/27/18 16:21:31.671.952	02 02 00 08 02 	
1201	02/27/18 16:21:31.683.043		02 02 2e cd ae 00 04 cf 
1202	02/27/18 16:21:31.683.735		fb 04 00 58 58 01 0a 
1203	02/27/18 16:21:31.684.341		ca 98 04 ff 03 01 07 02 
1204	02/27/18 16:21:31.685.033		00 00 00 01 04 03 01 00 
1205	02/27/18 16:21:31.685.725		00 00 00 00 00 00 00 00 
1206	02/27/18 16:21:31.686.417		00 00 00 00 00 00 00 00 
1207	02/27/18 16:21:31.687.110		63 63 63 63 43 e5 
1208	02/27/18 16:21:31.828.170	02 02 00 08 02 	
1209	02/27/18 16:21:31.843.047		02 02 2e cd ae 00 04 d0 
1210	02/27/18 16:21:31.843.739		9b 04 00 58 58 01 0a 
1211	02/27/18 16:21:31.844.345		ca 98 04 ff 03 01 07 02 
1212	02/27/18 16:21:31.845.037		00 00 00 01 04 03 01 00 
1213	02/27/18 16:21:31.845.730		00 00 00 00 00 00 00 00 
1214	02/27/18 16:21:31.846.422		00 00 00 00 00 00 00 00 
1215	02/27/18 16:21:31.847.114		63 63 63 63 34 30 
1216	02/27/18 16:21:31.984.466	02 02 00 08 02 	
1217	02/27/18 16:21:32.003.065		02 02 2e cd ae 00 04 d1 
1218	02/27/18 16:21:32.003.757		3b 04 00 58 58 01 0a 
1219	02/27/18 16:21:32.004.363		ca 98 04 ff 03 01 07 02 
1220	02/27/18 16:21:32.005.055		00 00 00 01 04 04 01 00 
1221	02/27/18 16:21:32.005.747		00 00 00 00 00 00 00 00 
1222	02/27/18 16:21:32.006.439		00 00 00 00 00 00 00 00 
1223	02/27/18 16:21:32.007.132		63 63 63 63 fb d7 
1224	02/27/18 16:21:32.140.718	02 02 00 08 02 	
1225	02/27/18 16:21:32.153.055		02 02 2e cd ae 00 04 d1 
1226	02/27/18 16:21:32.153.748		d1 04 00 58 58 01 0a 
1227	02/27/18 16:21:32.154.354		ca 98 04 ff 03 01 07 02 
1228	02/27/18 16:21:32.155.046		01 00 00 01 04 04 01 00 
1229	02/27/18 16:21:32.155.738		00 00 00 00 00 00 00 00 
1230	02/27/18 16:21:32.156.431		00 00 00 00 00 00 00 00 
1231	02/27/18 16:21:32.157.123		63 63 63 63 dc 84 
1232	02/27/18 16:21:32.234.692	02 0e 00 4d 6f 	
1233	02/27/18 16:21:32.253.395		02 0e f6 c2 b6 01 05 04 
1234	02/27/18 16:21:32.254.088		64 18 00 01 00 01 00 01 
1235	02/27/18 16:21:32.254.780		00 01 00 01 00 01 00 01 
1236	02/27/18 16:21:32.255.472		00 01 00 01 00 01 00 01 
1237	02/27/18 16:21:32.256.165		00 01 00 01 00 01 00 01 
1238	02/27/18 16:21:32.256.857		00 01 00 01 00 01 00 01 
1239	02/27/18 16:21:32.257.549		00 01 00 01 00 01 00 01 
1240	02/27/18 16:21:32.258.241		00 01 00 01 00 01 00 01 
1241	02/27/18 16:21:32.258.934		00 01 00 01 00 01 00 01 
1242	02/27/18 16:21:32.259.626		00 01 00 01 00 01 00 01 
1243	02/27/18 16:21:32.260.319		00 01 00 01 00 01 00 01 
1244	02/27/18 16:21:32.261.011		00 01 00 01 00 01 00 01 
1245	02/27/18 16:21:32.261.703		00 01 00 01 00 01 00 01 
1246	02/27/18 16:21:32.262.396		00 01 00 01 00 01 00 01 
1247	02/27/18 16:21:32.263.088		00 01 00 01 00 01 00 01 
1248	02/27/18 16:21:32.263.780		00 01 00 01 00 01 00 01 
1249	02/27/18 16:21:32.264.473		00 01 00 01 00 01 00 01 
1250	02/27/18 16:21:32.265.165		00 01 00 01 00 01 00 01 
1251	02/27/18 16:21:32.265.857		00 01 00 01 00 01 00 01 
1252	02/27/18 16:21:32.266.549		00 01 00 01 00 01 00 01 
1253	02/27/18 16:21:32.267.242		00 01 00 01 00 01 00 01 
1254	02/27/18 16:21:32.267.934		00 01 00 01 00 01 00 01 
1255	02/27/18 16:21:32.268.626		00 01 00 01 00 01 00 01 
1256	02/27/18 16:21:32.269.319		00 01 00 01 00 01 00 01 
1257	02/27/18 16:21:32.270.011		00 01 00 01 00 01 00 01 
1258	02/27/18 16:21:32.270.703		00 01 00 01 00 01 00 01 
1259	02/27/18 16:21:32.271.396		00 01 00 01 00 01 00 01 
1260	02/27/18 16:21:32.272.088		00 01 00 01 00 01 00 01 
1261	02/27/18 16:21:32.272.781		00 01 00 01 00 01 00 01 
1262	02/27/18 16:21:32.273.473		00 01 00 01 00 01 00 01 
1263	02/27/18 16:21:32.274.165		00 01 00 01 00 01 00 01 
1264	02/27/18 16:21:32.274.857		00 01 00 78 49 
1265	02/27/18 16:21:32.421.962	02 02 00 08 02 	
1266	02/27/18 16:21:32.433.063		02 02 2e cd ae 00 04 d2 
1267	02/27/18 16:21:32.433.756		e9 04 00 58 58 01 0a 
1268	02/27/18 16:21:32.434.361		ca 98 04 ff 03 01 07 02 
1269	02/27/18 16:21:32.435.054		00 00 00 01 04 04 01 00 
1270	02/27/18 16:21:32.435.746		00 00 00 00 00 00 00 00 
1271	02/27/18 16:21:32.436.438		00 00 00 00 00 00 00 00 
1272	02/27/18 16:21:32.437.130		63 63 63 63 1c 9c 
1273	02/27/18 16:21:32.578.223	02 02 00 08 02 	
1274	02/27/18 16:21:32.593.068		02 02 2e cd ae 00 04 d3 
1275	02/27/18 16:21:32.593.760		89 04 00 58 58 01 0a 
1276	02/27/18 16:21:32.594.366		ca 98 04 ff 03 01 07 02 
1277	02/27/18 16:21:32.595.058		00 00 00 01 04 04 01 00 
1278	02/27/18 16:21:32.595.750		00 00 00 00 00 00 00 00 
1279	02/27/18 16:21:32.596.442		00 00 00 00 00 00 00 00 
1280	02/27/18 16:21:32.597.135		63 63 63 63 ca 66 
1281	02/27/18 16:21:32.734.493	02 02 00 08 02 	
1282	02/27/18 16:21:32.753.072		02 02 2e cd ae 00 04 d4 
1283	02/27/18 16:21:32.753.764		29 04 00 58 58 01 0a 
1284	02/27/18 16:21:32.754.370		ca 98 04 ff 00 00 05 02 
1285	02/27/18 16:21:32.755.062		01 00 00 01 04 05 01 00 
1286	02/27/18 16:21:32.755.754		00 00 00 00 00 00 00 00 
1287	02/27/18 16:21:32.756.447		00 00 00 00 00 00 00 00 
1288	02/27/18 16:21:32.757.139		63 63 63 63 98 9a 
1289	02/27/18 16:21:32.828.449	02 0e 00 4d 6f 	
1290	02/27/18 16:21:32.843.412		02 0e f6 c2 b6 01 05 05 
1291	02/27/18 16:21:32.844.104		64 18 00 01 00 01 00 01 
1292	02/27/18 16:21:32.844.796		00 01 00 01 00 01 00 01 
1293	02/27/18 16:21:32.845.489		00 01 00 01 00 01 00 01 
1294	02/27/18 16:21:32.846.181		00 01 00 01 00 01 00 01 
1295	02/27/18 16:21:32.846.873		00 01 00 01 00 01 00 01 
1296	02/27/18 16:21:32.847.565		00 01 00 01 00 01 00 01 
1297	02/27/18 16:21:32.848.258		00 01 00 01 00 01 00 01 
1298	02/27/18 16:21:32.848.950		00 01 00 01 00 01 00 01 
1299	02/27/18 16:21:32.849.642		00 01 00 01 00 01 00 01 
1300	02/27/18 16:21:32.850.335		00 01 00 01 00 01 00 01 
1301	02/27/18 16:21:32.851.027		00 01 00 01 00 01 00 01 
1302	02/27/18 16:21:32.851.719		00 01 00 01 00 01 00 01 
1303	02/27/18 16:21:32.852.412		00 01 00 01 00 01 00 01 
1304	02/27/18 16:21:32.853.104		00 01 00 01 00 01 00 01 
1305	02/27/18 16:21:32.853.797		00 01 00 01 00 01 00 01 
1306	02/27/18 16:21:32.854.489		00 01 00 01 00 01 00 01 
1307	02/27/18 16:21:32.855.181		00 01 00 01 00 01 00 01 
1308	02/27/18 16:21:32.855.873		00 01 00 01 00 01 00 01 
1309	02/27/18 16:21:32.856.566		00 01 00 01 00 01 00 01 
1310	02/27/18 16:21:32.857.258		00 01 00 01 00 01 00 01 
1311	02/27/18 16:21:32.857.950		00 01 00 01 00 01 00 01 
1312	02/27/18 16:21:32.858.642		00 01 00 01 00 01 00 01 
1313	02/27/18 16:21:32.859.335		00 01 00 01 00 01 00 01 
1314	02/27/18 16:21:32.860.027		00 01 00 01 00 01 00 01 
1315	02/27/18 16:21:32.860.719		00 01 00 01 00 01 00 01 
1316	02/27/18 16:21:32.861.412		00 01 00 01 00 01 00 01 
1317	02/27/18 16:21:32.862.104		00 01 00 01 00 01 00 01 
1318	02/27/18 16:21:32.862.797		00 01 00 01 00 01 00 01 
1319	02/27/18 16:21:32.863.489		00 01 00 01 00 01 00 01 
1320	02/27/18 16:21:32.864.181		00 01 00 01 00 01 00 01 
1321	02/27/18 16:21:32.864.874		00 01 00 5d 7f 
1322	02/27/18 16:21:33.015.685	02 02 00 08 02 	
1323	02/27/18 16:21:33.033.079		02 02 2e cd ae 00 04 d5 
1324	02/27/18 16:21:33.033.772		41 04 00 58 58 01 0a 
1325	02/27/18 16:21:33.034.377		ca 98 04 ff 00 00 05 02 
1326	02/27/18 16:21:33.035.070		00 00 00 01 04 05 01 00 
1327	02/27/18 16:21:33.035.762		00 00 00 00 00 00 00 00 
1328	02/27/18 16:21:33.036.455		00 00 00 00 00 00 00 00 
1329	02/27/18 16:21:33.037.147		63 63 63 63 0e c7 
1330	02/27/18 16:21:33.171.964	02 02 00 08 02 	
1331	02/27/18 16:21:33.183.084		02 02 2e cd ae 00 04 d5 
1332	02/27/18 16:21:33.183.776		d7 04 00 58 58 01 0a 
1333	02/27/18 16:21:33.184.382		ca 98 04 ff 00 00 05 02 
1334	02/27/18 16:21:33.185.074		00 00 00 01 04 05 01 00 
1335	02/27/18 16:21:33.185.766		00 00 00 00 00 00 00 00 
1336	02/27/18 16:21:33.186.458		00 00 00 00 00 00 00 00 
1337	02/27/18 16:21:33.187.151		63 63 63 63 8a 4a 
1338	02/27/18 16:21:33.328.251	02 02 00 08 02 	
1339	02/27/18 16:21:33.343.078		02 02 2e cd ae 00 04 d6 
1340	02/27/18 16:21:33.343.770		77 04 00 58 58 01 0a 
1341	02/27/18 16:21:33.344.376		ca 00 04 ff 00 00 05 03 
1342	02/27/18 16:21:33.345.068		00 00 c6 01 04 00 01 00 
1343	02/27/18 16:21:33.345.761		00 00 00 00 00 00 00 00 
1344	02/27/18 16:21:33.346.453		00 00 00 00 00 00 00 00 
1345	02/27/18 16:21:33.347.145		63 63 63 63 28 b7 
1346	02/27/18 16:21:33.484.452	02 02 00 08 02 	
1347	02/27/18 16:21:33.503.082		02 02 2e cd ae 00 04 d7 
1348	02/27/18 16:21:33.503.774		17 04 00 58 58 01 0a 
1349	02/27/18 16:21:33.504.380		ca 00 04 ff 00 00 05 03 
1350	02/27/18 16:21:33.505.073		00 00 b6 01 04 00 01 00 
1351	02/27/18 16:21:33.505.765		00 00 00 00 00 00 00 00 
1352	02/27/18 16:21:33.506.457		00 00 00 00 00 00 00 00 
1353	02/27/18 16:21:33.507.150		63 63 63 63 da ea 
1354	02/27/18 16:21:33.640.730	02 02 00 08 02 	
1355	02/27/18 16:21:33.653.087		02 02 2e cd ae 00 04 d7 
1356	02/27/18 16:21:33.653.779		ad 04 00 58 58 01 0a 
1357	02/27/18 16:21:33.654.385		ca 00 04 ff 00 00 05 03 
1358	02/27/18 16:21:33.655.077		00 00 a7 01 04 00 01 00 
1359	02/27/18 16:21:33.655.769		00 00 00 00 00 00 00 00 
1360	02/27/18 16:21:33.656.461		00 00 00 00 00 00 00 00 
1361	02/27/18 16:21:33.657.154		63 63 63 63 cb 8b 
1362	02/27/18 16:21:33.796.982	02 02 00 08 02 	
1363	02/27/18 16:21:33.813.091		02 02 2e cd ae 00 04 d8 
1364	02/27/18 16:21:33.813.783		4d 04 00 58 58 01 0a 
1365	02/27/18 16:21:33.814.389		ca 00 04 ff 00 00 05 03 
1366	02/27/18 16:21:33.815.081		00 00 97 01 04 00 01 00 
1367	02/27/18 16:21:33.815.773		00 00 00 00 00 00 00 00 
1368	02/27/18 16:21:33.816.466		00 00 00 00 00 00 00 00 
1369	02/27/18 16:21:33.817.158		63 63 63 63 08 02 
1370	02/27/18 16:21:33.953.252	02 02 00 08 02 	
1371	02/27/18 16:21:33.973.095		02 02 2e cd ae 00 04 d8 
1372	02/27/18 16:21:33.973.788		ed 04 00 58 58 01 0a 
1373	02/27/18 16:21:33.974.393		ca 00 04 ff 00 00 05 03 
1374	02/27/18 16:21:33.975.085		00 00 87 01 04 00 01 00 
1375	02/27/18 16:21:33.975.778		00 00 00 00 00 00 00 00 
1376	02/27/18 16:21:33.976.470		00 00 00 00 00 00 00 00 
1377	02/27/18 16:21:33.977.162		63 63 63 63 cc 43 
1378	02/27/18 16:21:34.109.479	02 02 00 08 02 	
1379	02/27/18 16:21:34.123.099		02 02 2e cd ae 00 04 d9 
1380	02/27/18 16:21:34.123.791		83 04 00 58 58 01 0a 
1381	02/27/18 16:21:34.124.397		ca 00 04 ff 00 00 05 03 
1382	02/27/18 16:21:34.125.090		00 00 78 01 04 00 01 00 
1383	02/27/18 16:21:34.125.782		00 00 00 00 00 00 00 00 
1384	02/27/18 16:21:34.126.475		00 00 00 00 00 00 00 00 
1385	02/27/18 16:21:34.127.167		63 63 63 63 79 6a 
1386	02/27/18 16:21:34.265.749	02 02 00 08 02 	
1387	02/27/18 16:21:34.283.103		02 02 2e cd ae 00 04 da 
1388	02/27/18 16:21:34.283.796		23 04 00 58 58 01 0a 
1389	02/27/18 16:21:34.284.402		ca 00 04 ff 00 00 05 03 
1390	02/27/18 16:21:34.285.094		00 00 68 01 04 00 01 00 
1391	02/27/18 16:21:34.285.787		00 00 00 00 00 00 00 00 
1392	02/27/18 16:21:34.286.479		00 00 00 00 00 00 00 00 
1393	02/27/18 16:21:34.287.171		63 63 63 63 75 1f 
1394	02/27/18 16:21:34.422.001	02 02 00 08 02 	
1395	02/27/18 16:21:34.433.108		02 02 2e cd ae 00 04 da 
1396	02/27/18 16:21:34.433.800		b9 04 00 58 58 01 0a 
1397	02/27/18 16:21:34.434.406		ca 00 04 ff 00 00 05 03 
1398	02/27/18 16:21:34.435.098		00 00 59 01 04 00 01 00 
1399	02/27/18 16:21:34.435.790		00 00 00 00 00 00 00 00 
1400	02/27/18 16:21:34.436.483		00 00 00 00 00 00 00 00 
1401	02/27/18 16:21:34.437.175		63 63 63 63 2a 27 
1402	02/27/18 16:21:34.578.254	02 02 00 08 02 	
1403	02/27/18 16:21:34.593.112		02 02 2e cd ae 00 04 db 
1404	02/27/18 16:21:34.593.804		59 04 00 58 58 01 0a 
1405	02/27/18 16:21:34.594.410		ca 00 04 ff 00 00 05 03 
1406	02/27/18 16:21:34.595.102		00 00 49 01 04 00 01 00 
1407	02/27/18 16:21:34.595.795		00 00 00 00 00 00 00 00 
1408	02/27/18 16:21:34.596.487		00 00 00 00 00 00 00 00 
1409	02/27/18 16:21:34.597.179		63 63 63 63 b8 71 
1410	02/27/18 16:21:34.734.506	02 02 00 08 02 	
1411	02/27/18 16:21:34.753.116		02 02 2e cd ae 00 04 db 
1412	02/27/18 16:21:34.753.809		f9 04 00 58 58 01 0a 
1413	02/27/18 16:21:34.754.414		ca 00 04 ff 00 00 05 03 
1414	02/27/18 16:21:34.755.107		00 00 39 01 04 00 01 00 
1415	02/27/18 16:21:34.755.799		00 00 00 00 00 00 00 00 
1416	02/27/18 16:21:34.756.491		00 00 00 00 00 00 00 00 
1417	02/27/18 16:21:34.757.184		63 63 63 63 3f cd 
1418	02/27/18 16:21:34.890.750	02 02 00 08 02 	
1419	02/27/18 16:21:34.903.121		02 02 2e cd ae 00 04 dc 
1420	02/27/18 16:21:34.903.813		8f 04 00 58 58 01 0a 
1421	02/27/18 16:21:34.904.419		ca 00 04 ff 00 00 05 03 
1422	02/27/18 16:21:34.905.111		00 00 2a 01 04 00 01 00 
1423	02/27/18 16:21:34.905.803		00 00 00 00 00 00 00 00 
1424	02/27/18 16:21:34.906.496		00 00 00 00 00 00 00 00 
1425	02/27/18 16:21:34.907.188		63 63 63 63 4d dd 
1426	02/27/18 16:21:35.047.020	02 02 00 08 02 	
1427	02/27/18 16:21:35.063.125		02 02 2e cd ae 00 04 dd 
1428	02/27/18 16:21:35.063.817		2f 04 00 58 58 01 0a 
1429	02/27/18 16:21:35.064.423		ca 00 04 ff 00 00 05 03 
1430	02/27/18 16:21:35.065.115		00 00 1a 01 04 00 01 00 
1431	02/27/18 16:21:35.065.808		00 00 00 00 00 00 00 00 
1432	02/27/18 16:21:35.066.500		00 00 00 00 00 00 00 00 
1433	02/27/18 16:21:35.067.192		63 63 63 63 00 c4 
1434	02/27/18 16:21:35.203.246	02 02 00 08 02 	
1435	02/27/18 16:21:35.223.129		02 02 2e cd ae 00 04 dd 
1436	02/27/18 16:21:35.223.822		cf 04 00 58 58 01 0a 
1437	02/27/18 16:21:35.224.427		ca 00 04 ff 00 00 05 03 
1438	02/27/18 16:21:35.225.120		00 00 0a 
1439	02/27/18 16:21:35.225.379		01 04 00 01 00 00 00 00 
1440	02/27/18 16:21:35.226.072		00 00 00 00 00 00 00 00 
1441	02/27/18 16:21:35.226.764		00 00 00 00 00 63 63 63 
1442	02/27/18 16:21:35.227.456		63 d5 7e 
1443	02/27/18 16:21:35.359.464	02 02 00 08 02 	
1444	02/27/18 16:21:35.373.143		02 02 2e cd ae 00 04 de 
1445	02/27/18 16:21:35.373.836		65 04 00 58 58 01 0a 
1446	02/27/18 16:21:35.374.441		ca 18 04 ff 03 01 07 02 
1447	02/27/18 16:21:35.375.133		00 00 00 01 04 01 01 00 
1448	02/27/18 16:21:35.375.826		00 00 00 00 00 00 00 00 
1449	02/27/18 16:21:35.376.518		00 00 00 00 00 00 00 00 
1450	02/27/18 16:21:35.377.211		63 63 63 63 8c 55 
1451	02/27/18 16:21:35.515.708	02 02 00 08 02 	
1452	02/27/18 16:21:35.533.148		02 02 2e cd ae 00 04 df 
1453	02/27/18 16:21:35.533.840		05 04 00 58 58 01 0a 
1454	02/27/18 16:21:35.534.446		ca 18 04 ff 03 01 07 02 
1455	02/27/18 16:21:35.535.138		01 00 00 01 04 01 01 01 
1456	02/27/18 16:21:35.535.830		00 1a 00 00 00 00 00 00 
1457	02/27/18 16:21:35.536.523		00 00 00 00 00 00 00 00 
1458	02/27/18 16:21:35.537.215		63 63 63 63 a7 b1 
1459	02/27/18 16:21:35.609.725	02 0e 00 4d 6f 	
1460	02/27/18 16:21:35.623.487		02 0e f6 c2 b6 01 05 01 
1461	02/27/18 16:21:35.624.180		64 18 00 01 00 01 00 01 
1462	02/27/18 16:21:35.624.872		00 01 00 01 01 04 01 06 
1463	02/27/18 16:21:35.625.564		04 07 47 08 ba 30 f0 06 
1464	02/27/18 16:21:35.626.256		ff 05 ff 05 ff 04 ff 03 
1465	02/27/18 16:21:35.626.949		ff 02 eb 02 c7 01 a5 01 
1466	02/27/18 16:21:35.627.641		86 01 6a 00 51 00 3c 00 
1467	02/27/18 16:21:35.628.333		29 00 1a 00 0e 00 05 00 
1468	02/27/18 16:21:35.629.026		00 00 00 00 00 00 00 00 
1469	02/27/18 16:21:35.629.718		00 01 00 01 00 01 00 01 
1470	02/27/18 16:21:35.630.411		00 01 00 01 00 01 00 01 
1471	02/27/18 16:21:35.631.103		00 01 00 01 00 01 00 01 
1472	02/27/18 16:21:35.631.795		00 01 00 01 00 01 00 01 
1473	02/27/18 16:21:35.632.488		00 01 00 01 00 01 00 01 
1474	02/27/18 16:21:35.633.180		00 01 00 01 00 01 00 01 
1475	02/27/18 16:21:35.633.872		00 01 00 01 00 01 00 01 
1476	02/27/18 16:21:35.634.565		00 01 00 01 00 01 00 01 
1477	02/27/18 16:21:35.635.257		00 01 00 01 00 01 00 01 
1478	02/27/18 16:21:35.635.949		00 01 00 01 00 01 00 01 
1479	02/27/18 16:21:35.636.641		00 01 00 01 00 01 00 01 
1480	02/27/18 16:21:35.637.334		00 01 00 01 00 01 00 01 
1481	02/27/18 16:21:35.638.026		00 01 00 01 00 01 00 01 
1482	02/27/18 16:21:35.638.718		00 01 00 01 00 01 00 01 
1483	02/27/18 16:21:35.639.411		00 01 00 01 00 01 00 01 
1484	02/27/18 16:21:35.640.103		00 01 00 01 00 01 00 01 
1485	02/27/18 16:21:35.640.795		00 01 00 01 00 01 00 01 
1486	02/27/18 16:21:35.641.488		00 01 00 01 00 01 00 01 
1487	02/27/18 16:21:35.642.180		00 01 00 01 00 01 00 01 
1488	02/27/18 16:21:35.642.873		00 01 00 01 00 01 00 01 
1489	02/27/18 16:21:35.643.565		00 01 00 01 00 01 00 01 
1490	02/27/18 16:21:35.644.257		00 01 00 01 00 01 00 01 
1491	02/27/18 16:21:35.644.949		00 01 00 d9 e9 
1492	02/27/18 16:21:35.796.987	02 02 00 08 02 	
1493	02/27/18 16:21:35.813.155		02 02 2e cd ae 00 04 e0 
1494	02/27/18 16:21:35.813.847		1d 04 00 58 58 01 0a 
1495	02/27/18 16:21:35.814.453		ca 18 04 ff 03 01 07 02 
1496	02/27/18 16:21:35.815.146		00 00 00 01 04 01 01 00 
1497	02/27/18 16:21:35.815.838		00 00 00 00 00 00 00 00 
1498	02/27/18 16:21:35.816.531		00 00 00 00 00 00 00 00 
1499	02/27/18 16:21:35.817.223		63 63 63 63 6c b1 
1500	02/27/18 16:21:35.953.239	02 02 00 08 02 	
1501	02/27/18 16:21:35.973.160		02 02 2e cd ae 00 04 e0 
1502	02/27/18 16:21:35.973.852		bd 04 00 58 58 01 0a 
1503	02/27/18 16:21:35.974.458		ca 18 04 ff 03 01 07 02 
1504	02/27/18 16:21:35.975.150		00 00 00 01 04 01 01 00 
1505	02/27/18 16:21:35.975.843		00 00 00 00 00 00 00 00 
1506	02/27/18 16:21:35.976.535		00 00 00 00 00 00 00 00 
1507	02/27/18 16:21:35.977.227		63 63 63 63 cf aa 
1508	02/27/18 16:21:36.109.500	02 02 00 08 02 	
1509	02/27/18 16:21:36.123.164		02 02 2e cd ae 00 04 e1 
1510	02/27/18 16:21:36.123.856		53 04 00 58 58 01 0a 
1511	02/27/18 16:21:36.124.462		ca 98 04 ff 03 01 07 02 
1512	02/27/18 16:21:36.125.154		01 00 00 01 04 02 01 00 
1513	02/27/18 16:21:36.125.846		00 00 00 00 00 00 00 00 
1514	02/27/18 16:21:36.126.539		00 00 00 00 00 00 00 00 
1515	02/27/18 16:21:36.127.231		63 63 63 63 26 b1 
1516	02/27/18 16:21:36.203.474	02 0e 00 4d 6f 	
1517	02/27/18 16:21:36.223.503		02 0e f6 c2 b6 01 05 02 
1518	02/27/18 16:21:36.224.196		64 18 00 01 00 01 00 01 
1519	02/27/18 16:21:36.224.888		00 01 00 01 00 01 00 01 
1520	02/27/18 16:21:36.225.581		00 01 00 01 00 01 00 01 
1521	02/27/18 16:21:36.226.273		00 01 00 01 00 01 00 01 
1522	02/27/18 16:21:36.226.965		00 01 00 01 00 01 00 01 
1523	02/27/18 16:21:36.227.658		00 01 00 01 00 01 00 01 
1524	02/27/18 16:21:36.228.350		00 01 00 01 00 01 00 01 
1525	02/27/18 16:21:36.229.043		00 01 00 01 00 01 00 01 
1526	02/27/18 16:21:36.229.735		00 01 00 01 00 01 00 01 
1527	02/27/18 16:21:36.230.427		00 01 00 01 00 01 00 01 
1528	02/27/18 16:21:36.231.119		00 01 00 01 00 01 00 01 
1529	02/27/18 16:21:36.231.812		00 01 00 01 00 01 00 01 
1530	02/27/18 16:21:36.232.504		00 01 00 01 00 01 00 01 
1531	02/27/18 16:21:36.233.196		00 01 00 01 00 01 00 01 
1532	02/27/18 16:21:36.233.888		00 01 00 01 00 01 00 01 
1533	02/27/18 16:21:36.234.581		00 01 00 01 00 01 00 01 
1534	02/27/18 16:21:36.235.273		00 01 00 01 00 01 00 01 
1535	02/27/18 16:21:36.235.965		00 01 00 01 00 01 00 01 
1536	02/27/18 16:21:36.236.658		00 01 00 01 00 01 00 01 
1537	02/27/18 16:21:36.237.350		00 01 00 01 00 01 00 01 
1538	02/27/18 16:21:36.238.043		00 01 00 01 00 01 00 01 
1539	02/27/18 16:21:36.238.735		00 01 00 01 00 01 00 01 
1540	02/27/18 16:21:36.239.427		00 01 00 01 00 01 00 01 
1541	02/27/18 16:21:36.240.120		00 01 00 01 00 01 00 01 
1542	02/27/18 16:21:36.240.812		00 01 00 01 00 01 00 01 
1543	02/27/18 16:21:36.241.504		00 01 00 01 00 01 00 01 
1544	02/27/18 16:21:36.242.196		00 01 00 01 00 01 00 01 
1545	02/27/18 16:21:36.242.889		00 01 00 01 00 01 00 01 
1546	02/27/18 16:21:36.243.581		00 01 00 01 00 01 00 01 
1547	02/27/18 16:21:36.244.273		00 01 00 01 00 01 00 01 
1548	02/27/18 16:21:36.244.965		00 01 00 a6 fd 
1549	02/27/18 16:21:36.390.736	02 02 00 08 02 	
1550	02/27/18 16:21:36.403.171		02 02 2e cd ae 00 04 e2 
1551	02/27/18 16:21:36.403.863		6b 04 00 58 58 01 0a 
1552	02/27/18 16:21:36.404.469		ca 98 04 ff 03 01 07 02 
1553	02/27/18 16:21:36.405.162		00 00 00 01 04 02 01 00 
1554	02/27/18 16:21:36.405.854		00 00 00 00 00 00 00 00 
1555	02/27/18 16:21:36.406.547		00 00 00 00 00 00 00 00 
1556	02/27/18 16:21:36.407.239		63 63 63 63 e6 a9 
1557	02/27/18 16:21:36.546.997	02 02 00 08 02 	
1558	02/27/18 16:21:36.563.176		02 02 2e cd ae 00 04 e3 
1559	02/27/18 16:21:36.563.868		0b 04 00 58 58 01 0a 
1560	02/27/18 16:21:36.564.474		ca 98 04 ff 03 01 07 02 
1561	02/27/18 16:21:36.565.166		00 00 00 01 04 02 01 00 
1562	02/27/18 16:21:36.565.859		00 00 00 00 00 00 00 00 
1563	02/27/18 16:21:36.566.551		00 00 00 00 00 00 00 00 
1564	02/27/18 16:21:36.567.243		63 63 63 63 30 53 
1565	02/27/18 16:21:36.703.267	02 02 00 08 02 	
1566	02/27/18 16:21:36.723.180		02 02 2e cd ae 00 04 e3 
1567	02/27/18 16:21:36.723.872		ab 04 00 58 58 01 0a 
1568	02/27/18 16:21:36.724.478		ca 98 04 ff 03 01 07 02 
1569	02/27/18 16:21:36.725.171		01 00 00 01 04 03 01 00 
1570	02/27/18 16:21:36.725.863		00 00 00 00 00 00 00 00 
1571	02/27/18 16:21:36.726.555		00 00 00 00 00 00 00 00 
1572	02/27/18 16:21:36.727.248		63 63 63 63 d2 d7 
1573	02/27/18 16:21:36.797.214	02 0e 00 4d 6f 	
1574	02/27/18 16:21:36.813.516		02 0e f6 c2 b6 01 05 03 
