Line	MM/DD/YY hh:mm:ss.ms.us	DTE(hex)	DCE(hex)
231	02/27/18 16:21:16.766.693		63 63 63 63 df 5b 
232	02/27/18 16:21:16.906.251	02 02 00 08 02 	
233	02/27/18 16:21:16.922.630		02 02 2e cd ae 00 04 96 
234	02/27/18 16:21:16.923.323		53 04 00 58 58 01 0a 
235	02/27/18 16:21:16.923.928		ca 00 04 ff 00 00 05 03 
236	02/27/18 16:21:16.924.621		00 03 02 01 04 00 01 00 
237	02/27/18 16:21:16.925.313		00 00 00 00 00 00 00 00 
238	02/27/18 16:21:16.926.005		00 00 00 00 00 00 00 00 
239	02/27/18 16:21:16.926.698		63 63 63 63 c2 d5 
240	02/27/18 16:21:17.062.495	02 02 00 08 02 	
241	02/27/18 16:21:17.082.635		02 02 2e cd ae 00 04 96 
242	02/27/18 16:21:17.083.327		f3 04 00 58 58 01 0a 
243	02/27/18 16:21:17.083.933		ca 00 04 ff 00 00 05 03 
244	02/27/18 16:21:17.084.625		00 02 f2 01 04 00 01 00 
245	02/27/18 16:21:17.085.317		00 00 00 00 00 00 00 00 
246	02/27/18 16:21:17.086.010		00 00 00 00 00 00 00 00 
247	02/27/18 16:21:17.086.702		63 63 63 63 5a bc 
248	02/27/18 16:21:17.218.765	02 02 00 08 02 	
249	02/27/18 16:21:17.232.638		02 02 2e cd ae 00 04 97 
250	02/27/18 16:21:17.233.331		89 04 00 58 58 01 0a 
251	02/27/18 16:21:17.233.937		ca 00 04 ff 00 00 05 03 
252	02/27/18 16:21:17.234.629		00 02 e3 01 04 00 01 00 
253	02/27/18 16:21:17.235.321		00 00 00 00 00 00 00 00 
254	02/27/18 16:21:17.236.014		00 00 00 00 00 00 00 00 
255	02/27/18 16:21:17.236.706		63 63 63 63 3e 3c 
256	02/27/18 16:21:17.374.982	02 02 00 08 02 	
257	02/27/18 16:21:17.392.643		02 02 2e cd ae 00 04 98 
258	02/27/18 16:21:17.393.335		29 04 00 58 58 01 0a 
259	02/27/18 16:21:17.393.941		ca 00 04 ff 00 00 05 03 
260	02/27/18 16:21:17.394.633		00 02 d3 01 04 00 01 00 
261	02/27/18 16:21:17.395.326		00 00 00 00 00 00 00 00 
262	02/27/18 16:21:17.396.018		00 00 00 00 00 00 00 00 
263	02/27/18 16:21:17.396.711		63 63 63 63 ec 4e 
264	02/27/18 16:21:17.531.235	02 02 00 08 02 	
265	02/27/18 16:21:17.542.647		02 02 2e cd ae 00 04 98 
266	02/27/18 16:21:17.543.339		bf 04 00 58 58 01 0a 
267	02/27/18 16:21:17.543.945		ca 00 04 ff 00 00 05 03 
268	02/27/18 16:21:17.544.637		00 02 c4 01 04 00 01 00 
269	02/27/18 16:21:17.545.330		00 00 00 00 00 00 00 00 
270	02/27/18 16:21:17.546.022		00 00 00 00 00 00 00 00 
271	02/27/18 16:21:17.546.714		63 63 63 63 7a dd 
272	02/27/18 16:21:17.687.505	02 02 00 08 02 	
273	02/27/18 16:21:17.702.651		02 02 2e cd ae 00 04 99 
274	02/27/18 16:21:17.703.344		5f 04 00 58 58 01 0a 
275	02/27/18 16:21:17.703.949		ca 00 04 ff 00 00 05 03 
276	02/27/18 16:21:17.704.642		00 02 b4 01 04 00 01 00 
277	02/27/18 16:21:17.705.334		00 00 00 00 00 00 00 00 
278	02/27/18 16:21:17.706.026		00 00 00 00 00 00 00 00 
279	02/27/18 16:21:17.706.719		63 63 63 63 ab 76 
280	02/27/18 16:21:17.843.758	02 02 00 08 02 	
281	02/27/18 16:21:17.862.656		02 02 2e cd ae 00 04 99 
282	02/27/18 16:21:17.863.348		ff 04 00 58 58 01 0a 
283	02/27/18 16:21:17.863.954		ca 00 04 ff 00 00 05 03 
284	02/27/18 16:21:17.864.646		00 02 a4 01 04 00 01 00 
285	02/27/18 16:21:17.865.338		00 00 00 00 00 00 00 00 
286	02/27/18 16:21:17.866.031		00 00 00 00 00 00 00 00 
287	02/27/18 16:21:17.866.723		63 63 63 63 6f 37 
288	02/27/18 16:21:18.000.010	02 02 00 08 02 	
289	02/27/18 16:21:18.012.660		02 02 2e cd ae 00 04 9a 
290	02/27/18 16:21:18.013.352		95 04 00 58 58 01 0a 
291	02/27/18 16:21:18.013.958		ca 00 04 ff 00 00 05 03 
292	02/27/18 16:21:18.014.651		00 02 95 01 04 00 01 00 
293	02/27/18 16:21:18.015.343		00 00 00 00 00 00 00 00 
294	02/27/18 16:21:18.016.035		00 00 00 00 00 00 00 00 
295	02/27/18 16:21:18.016.727		63 63 63 63 82 bd 
296	02/27/18 16:21:18.156.245	02 02 00 08 02 	
297	02/27/18 16:21:18.172.664		02 02 2e cd ae 00 04 9b 
298	02/27/18 16:21:18.173.357		35 04 00 58 58 01 0a 
299	02/27/18 16:21:18.173.963		ca 00 04 ff 00 00 05 03 
300	02/27/18 16:21:18.174.655		00 02 85 01 04 00 01 00 
301	02/27/18 16:21:18.175.347		00 00 00 00 00 00 00 00 
